disease_uid	entrezID	source	url
AID00022	56834	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/56834
AID00022	25824	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/25824
AID00022	3123	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/3123
AID00022	64127	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/64127
AID00038	286183	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/286183
AID00038	102724761	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/102724761
AID00038	5289	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/5289
AID00038	92249	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/92249
AID00038	11122	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/11122
AID00038	56963	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/56963
AID00038	6641	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/6641
AID00038	134430	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/134430
AID00038	55224	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/55224
AID00038	101927025	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/101927025
AID00038	154215	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/154215
AID00038	1740	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/1740
AID00038	23742	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/23742
AID00038	54858	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/54858
AID00038	88	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/88
AID00038	5728	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/5728
AID00038	84942	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/84942
AID00038	6014	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/6014
AID00038	79875	NCBI Gene Keyword Search	http://www.ncbi.nlm.nih.gov/gene/79875
